canonical_smiles,MW,logP,TPSA,HBD,HBA,QED,BBB_heuristic,Lipinski_pass,PAINS_count,has_charged_center,has_reactive_group,murcko_scaffold,campaigns_hit,targets_hit,n_campaigns,tier_A_hits,tier_B_hits,tier_C_hits,PAINS_penalty,composite,polypharm_bonus,anti_target_penalty,final_score
COc1cc(C)ccc1C(C)NCC1=CC=[N+]2C1=Nc1c[n+](Cc3cncc[nH+]3)ccc12,427.53200000000015,2.5977200000000007,67.53999999999999,1,4,0.5896469207929165,1.0,1,0,1,0,C1=C(CNCc2ccccc2)C2=Nc3c[n+](Cc4cncc[nH+]4)ccc3[N+]2=C1,['limk2_activator_alphaC'],['LIMK2'],1,0.0,1.0,0.0,0.0,0.876894076237875,0.0,0.0,0.876894076237875
CS(=O)(=O)c1ccccc1-c1cccc(Oc2ccc(C(N)=O)cc2)c1,367.4260000000001,3.6483000000000017,86.46000000000001,1,4,0.7456553255414997,1.0,1,0,0,0,c1ccc(Oc2cccc(-c3ccccc3)c2)cc1,['limk2_activator_alphaC'],['LIMK2'],1,0.0,1.0,0.0,0.0,0.9236965976624498,0.0,0.0,0.9236965976624498
CCc1nc2ccc[nH+]c2cc1OCc1ccc2[nH]cc(C(=O)O)c2c1,348.38200000000006,3.3698000000000015,89.35000000000001,2,3,0.578549037662717,1.0,1,0,1,0,c1c[nH+]c2cc(OCc3ccc4[nH]ccc4c3)cnc2c1,['limk2_activator_alphaC'],['LIMK2'],1,0.0,1.0,0.0,0.0,0.873564711298815,0.0,0.0,0.873564711298815
COc1cc(OC)c(OC)c(C(=O)N2CCN(C(=O)c3ccncc3)CC2)c1,385.42000000000013,1.7056,81.2,0,6,0.7794280091941492,1.0,1,0,0,0,O=C(c1ccccc1)N1CCN(C(=O)c2ccncc2)CC1,['limk2_activator_alphaC'],['LIMK2'],1,0.0,1.0,0.0,0.0,0.9338284027582446,0.0,0.0,0.9338284027582446
C[C@H]1CCc2ncnc(N3C[C@@H](N(C)[C@@H]4CCCCNC4)CC3=O)c21,343.47500000000014,1.7055000000000002,61.36000000000001,1,5,0.9051811340758197,1.0,1,0,0,0,O=C1CC(NC2CCCCNC2)CN1c1ncnc2c1CCC2,['limk2_atp_inhibitor'],['LIMK2'],1,0.0,0.0,1.0,0.0,0.9715543402227458,0.0,0.1,0.8715543402227458
Cc1cc2c(c(N3CCOCC3)c1)Nc1ccccc1C(CC(=O)O)=C2,350.4180000000002,3.903920000000002,61.8,2,4,0.8789149965695053,1.0,1,0,0,0,C1=Cc2cccc(N3CCOCC3)c2Nc2ccccc21,['limk2_atp_inhibitor'],['LIMK2'],1,0.0,0.0,1.0,0.0,0.9636744989708514,0.0,0.1,0.8636744989708515
O=C(O)C[C@H]1C[C@@H](c2cccc(F)c2)N(C(=O)CCc2ccccc2)C1=O,369.3920000000001,3.349400000000002,74.68,1,3,0.847353535500681,1.0,1,0,0,0,O=C(CCc1ccccc1)N1C(=O)CCC1c1ccccc1,['limk2_atp_inhibitor'],['LIMK2'],1,0.0,0.0,1.0,0.0,0.9542060606502043,0.0,0.1,0.8542060606502043
C[C@H](O)c1c2n(c3ccccc13)C(=O)[C@@H]1CN(C=CN1C)C(=O)N(C)CC=C2,380.44800000000015,2.5006000000000004,69.02,1,4,0.8253968592363106,1.0,1,0,0,0,O=C1NCC=Cc2cc3ccccc3n2C(=O)C2CN1C=CN2,['limk2_atp_inhibitor'],['LIMK2'],1,0.0,0.0,1.0,0.0,0.9476190577708932,0.0,0.1,0.8476190577708932
O=C(c1cccc2c1NC=CC=C2)[C@H]1CC(=O)N(Cc2ccccc2)C[C@@H]1O,374.44000000000005,3.2313000000000014,69.64,2,4,0.8064622056156642,1.0,1,0,0,0,O=C(c1cccc2c1NC=CC=C2)C1CCN(Cc2ccccc2)C(=O)C1,['limk2_atp_inhibitor'],['LIMK2'],1,0.0,0.0,1.0,0.0,0.9419386616846992,0.0,0.1,0.8419386616846992
NC(=O)c1ccc(CCCC[C@H]2CCC3=C2NC=c2ccccc2=N3)cc1,359.473,2.780900000000001,67.48,2,3,0.7789954036111977,1.0,1,0,0,0,C1=c2ccccc2=NC2=C(N1)C(CCCCc1ccccc1)CC2,['limk2_atp_inhibitor'],['LIMK2'],1,0.0,0.0,1.0,0.0,0.9336986210833593,0.0,0.1,0.8336986210833593
